student_id,subject,mean_score,min_score,max_score,test_count,attendance_pct,study_hours,trend,label
22,English,69.75,66,73,4,70.28,3.59,-2,0
22,Math,64.0,51,78,5,70.28,3.59,11,0
22,Physics,28.0,22,38,5,70.28,3.59,13,1
23,English,36.0,26,46,2,54.75,2.69,-20,1
23,Math,59.0,58,60,2,54.75,2.69,-2,0
23,Physics,75.66666666666667,71,80,3,54.75,2.69,4,0
24,English,47.0,36,58,2,71.66,2.18,-22,0
24,Math,67.66666666666667,61,75,3,71.66,2.18,-14,0
24,Physics,70.0,66,74,2,71.66,2.18,8,0
25,English,79.33333333333333,65,90,6,67.12,4.42,-12,0
25,Math,32.666666666666664,21,42,6,67.12,4.42,10,1
25,Physics,63.0,56,70,2,67.12,4.42,14,0
26,English,62.333333333333336,54,70,3,65.73,2.44,9,0
26,Math,67.5,53,82,6,65.73,2.44,19,0
26,Physics,33.333333333333336,27,45,3,65.73,2.44,-18,1
27,English,75.4,64,92,5,86.63,2.51,26,0
27,Math,72.16666666666667,60,82,6,86.63,2.51,-2,0
27,Physics,64.5,61,68,2,86.63,2.51,-7,0
28,English,80.25,66,89,4,81.87,2.57,23,0
28,Math,21.5,15,25,4,81.87,2.57,10,1
28,Physics,56.0,44,71,5,81.87,2.57,16,0
29,English,61.0,59,63,2,83.85,2.04,-4,0
29,Math,58.666666666666664,54,66,3,83.85,2.04,-12,0
29,Physics,79.2,67,92,5,83.85,2.04,-9,0
30,English,42.333333333333336,28,50,6,52.83,3.89,-14,1
30,Math,72.25,65,80,4,52.83,3.89,15,0
30,Physics,75.5,75,76,2,52.83,3.89,-1,0
31,English,74.0,65,81,3,88.05,2.52,-11,0
31,Math,47.0,36,61,6,88.05,2.52,2,0
31,Physics,39.6,29,50,5,88.05,2.52,12,1
32,English,67.0,57,78,3,64.94,1.29,-9,0
32,Math,50.0,38,57,4,64.94,1.29,12,0
32,Physics,69.0,65,73,2,64.94,1.29,8,0
33,English,68.33333333333333,55,80,6,78.25,4.18,-8,0
33,Math,42.5,40,46,4,78.25,4.18,-5,0
33,Physics,74.33333333333333,63,86,3,78.25,4.18,-11,0
34,English,43.5,30,53,4,86.54,2.02,4,1
34,Math,62.0,62,62,2,86.54,2.02,0,0
34,Physics,61.8,51,73,5,86.54,2.02,-12,0
35,English,86.5,86,87,2,71.98,2.5,-1,0
35,Math,49.2,40,62,5,71.98,2.5,-21,0
35,Physics,36.5,29,44,2,71.98,2.5,15,1
36,English,51.5,47,57,4,49.36,3.64,-5,0
36,Math,75.33333333333333,70,86,3,49.36,3.64,16,0
36,Physics,44.166666666666664,33,57,6,49.36,3.64,-18,1
37,English,59.2,45,65,5,89.51,3.46,0,0
37,Math,35.5,32,39,2,89.51,3.46,7,1
37,Physics,35.0,34,36,2,89.51,3.46,-2,1
38,English,58.333333333333336,44,70,6,62.91,4.09,13,0
38,Math,77.8,67,91,5,62.91,4.09,-24,1
38,Physics,42.75,31,51,4,62.91,4.09,11,1
39,English,47.0,46,48,2,73.77,3.15,2,0
39,Math,78.16666666666667,62,90,6,73.77,3.15,-7,0
39,Physics,71.25,59,82,4,73.77,3.15,-4,0
40,English,59.0,49,69,2,88.72,1.82,20,0
40,Math,62.0,62,62,2,88.72,1.82,0,0
40,Physics,27.5,27,28,2,88.72,1.82,1,1
41,English,36.333333333333336,27,56,6,75.05,2.55,-2,1
41,Math,65.16666666666667,60,71,6,75.05,2.55,4,0
41,Physics,69.0,60,78,2,75.05,2.55,18,0
42,English,64.66666666666667,58,73,6,66.72,2.2,-15,0
42,Math,62.666666666666664,50,69,3,66.72,2.2,-19,0
42,Physics,74.75,64,85,4,66.72,2.2,0,0
43,English,60.0,48,72,4,88.97,2.11,-19,0
43,Math,34.666666666666664,30,43,3,88.97,2.11,-13,1
43,Physics,61.8,49,77,5,88.97,2.11,24,0
44,English,44.2,39,58,5,70.13,3.83,-3,0
44,Math,42.666666666666664,34,59,3,70.13,3.83,-1,1
44,Physics,48.333333333333336,40,58,3,70.13,3.83,18,0
45,English,31.0,19,43,2,86.23,1.06,24,1
45,Math,81.75,76,85,4,86.23,1.06,-9,0
45,Physics,35.0,33,37,4,86.23,1.06,-4,1
46,English,68.16666666666667,56,80,6,65.14,3.0,2,0
46,Math,46.666666666666664,37,53,3,65.14,3.0,-3,0
46,Physics,70.8,56,84,5,65.14,3.0,-28,0
47,English,31.0,24,38,2,62.82,1.34,-14,1
47,Math,80.66666666666667,75,85,3,62.82,1.34,-10,0
47,Physics,80.0,65,90,4,62.82,1.34,-25,1
48,English,33.75,23,43,4,69.69,1.92,11,1
48,Math,61.333333333333336,55,65,3,69.69,1.92,1,0
48,Physics,80.33333333333333,72,85,3,69.69,1.92,1,0
49,English,75.33333333333333,70,82,3,71.42,3.4,-12,0
49,Math,48.25,33,56,4,71.42,3.4,3,1
49,Physics,68.33333333333333,59,77,3,71.42,3.4,-18,0
50,English,42.0,37,52,5,91.87,3.38,10,0
50,Math,66.5,58,72,4,91.87,3.38,-9,0
50,Physics,71.0,68,77,3,91.87,3.38,9,0
51,English,62.75,52,67,4,84.26,4.41,-1,0
51,Math,67.25,59,83,4,84.26,4.41,-5,0
51,Physics,47.666666666666664,39,58,6,84.26,4.41,-17,0
52,English,70.25,63,84,4,76.74,3.41,14,0
52,Math,32.0,23,39,4,76.74,3.41,2,1
52,Physics,30.0,23,41,4,76.74,3.41,11,1
53,English,30.333333333333332,25,37,6,67.37,0.7,2,1
53,Math,47.5,45,50,2,67.37,0.7,-5,0
53,Physics,49.0,45,53,2,67.37,0.7,-8,0
54,English,35.0,33,37,2,66.4,2.12,4,1
54,Math,64.66666666666667,59,70,3,66.4,2.12,6,0
54,Physics,38.0,34,42,3,66.4,2.12,8,1
55,English,27.333333333333332,26,28,3,50.28,1.7,-2,1
55,Math,47.0,46,48,2,50.28,1.7,-2,0
55,Physics,78.8,72,87,5,50.28,1.7,-5,0
56,English,33.0,27,42,3,79.88,4.08,-15,1
56,Math,37.166666666666664,26,51,6,79.88,4.08,19,1
56,Physics,48.0,39,61,4,79.88,4.08,22,0
57,English,39.333333333333336,35,48,3,87.01,2.09,-13,1
57,Math,61.0,52,74,4,87.01,2.09,0,0
57,Physics,38.0,31,45,2,87.01,2.09,14,1
58,English,63.0,51,75,2,66.15,2.79,-24,0
58,Math,34.25,28,40,4,66.15,2.79,1,1
58,Physics,65.5,50,76,6,66.15,2.79,9,0
59,English,80.4,73,87,5,70.03,2.89,5,0
59,Math,45.8,37,62,5,70.03,2.89,8,0
59,Physics,65.0,64,66,2,70.03,2.89,2,0
60,English,30.0,29,31,4,64.81,5.48,0,1
60,Math,41.0,27,52,5,64.81,5.48,6,1
60,Physics,66.8,54,76,5,64.81,5.48,-6,0
61,English,65.6,60,72,5,58.21,1.89,-8,0
61,Math,44.25,33,55,4,58.21,1.89,4,1
61,Physics,46.0,39,53,3,58.21,1.89,7,0
62,English,72.0,64,80,2,87.05,3.17,16,0
62,Math,45.333333333333336,41,51,3,87.05,3.17,7,0
62,Physics,52.0,46,58,2,87.05,3.17,12,0
63,English,40.5,31,48,6,70.98,2.07,-1,1
63,Math,36.5,36,37,2,70.98,2.07,1,1
63,Physics,68.0,62,74,4,70.98,2.07,-6,0
64,English,80.0,76,84,4,72.9,1.55,-3,0
64,Math,29.0,26,31,3,72.9,1.55,1,1
64,Physics,55.333333333333336,42,67,3,72.9,1.55,15,0
65,English,83.0,82,84,2,63.06,2.78,2,0
65,Math,54.666666666666664,38,66,6,63.06,2.78,25,0
65,Physics,79.4,70,84,5,63.06,2.78,-1,0
66,English,57.333333333333336,43,72,6,76.1,3.63,-29,0
66,Math,27.0,21,33,2,76.1,3.63,12,1
66,Physics,58.5,49,62,4,76.1,3.63,-13,0
67,English,58.25,55,64,4,72.45,4.0,4,0
67,Math,62.666666666666664,58,71,3,72.45,4.0,13,0
67,Physics,32.25,18,46,4,72.45,4.0,22,1
68,English,37.75,26,46,4,89.15,2.63,-17,1
68,Math,57.6,46,74,5,89.15,2.63,-17,0
68,Physics,39.5,39,40,2,89.15,2.63,-1,1
69,English,40.5,34,50,6,80.0,1.45,-16,1
69,Math,68.66666666666667,62,72,3,80.0,1.45,0,0
69,Physics,41.75,33,51,4,80.0,1.45,18,1
70,English,44.0,38,63,5,81.89,2.97,4,0
70,Math,45.666666666666664,33,61,6,81.89,2.97,-3,1
70,Physics,45.0,35,56,6,81.89,2.97,12,0
71,English,35.5,35,36,2,57.47,1.96,-1,1
71,Math,53.6,45,65,5,57.47,1.96,18,0
71,Physics,78.25,76,82,4,57.47,1.96,-4,0
72,English,35.333333333333336,28,45,6,67.06,4.12,3,1
72,Math,47.5,46,49,2,67.06,4.12,3,0
72,Physics,57.6,41,68,5,67.06,4.12,-3,0
73,English,44.666666666666664,38,50,3,79.08,0.8,8,0
73,Math,70.0,63,77,2,79.08,0.8,-14,0
73,Physics,76.33333333333333,61,82,6,79.08,0.8,5,0
74,English,55.333333333333336,50,63,3,56.59,1.22,-13,1
74,Math,76.33333333333333,61,87,3,56.59,1.22,20,0
74,Physics,29.75,18,35,4,56.59,1.22,0,1
75,English,75.6,67,86,5,83.24,2.38,-6,0
75,Math,60.75,54,74,4,83.24,2.38,-6,0
75,Physics,60.5,49,72,6,83.24,2.38,-23,0
76,English,75.0,68,82,4,86.49,1.8,14,0
76,Math,36.833333333333336,23,51,6,86.49,1.8,20,1
76,Physics,64.25,56,78,4,86.49,1.8,-7,0
77,English,37.5,26,44,4,81.22,0.93,-16,1
77,Math,70.75,62,77,4,81.22,0.93,5,0
77,Physics,47.0,40,55,6,81.22,0.93,2,0
78,English,44.666666666666664,36,52,3,83.34,2.96,16,0
78,Math,49.5,43,56,2,83.34,2.96,-13,0
78,Physics,54.75,48,65,4,83.34,2.96,6,0
79,English,70.33333333333333,66,76,3,62.49,5.11,7,0
79,Math,36.166666666666664,28,47,6,62.49,5.11,18,1
79,Physics,48.5,34,61,6,62.49,5.11,-3,1
80,English,42.5,39,46,2,70.66,2.19,-7,0
80,Math,24.0,21,27,3,70.66,2.19,3,1
80,Physics,47.333333333333336,43,51,3,70.66,2.19,3,0
81,English,47.666666666666664,34,60,6,85.32,1.01,26,1
81,Math,68.33333333333333,57,85,6,85.32,1.01,-2,0
81,Physics,64.0,56,70,3,85.32,1.01,-14,0
82,English,30.833333333333332,17,44,6,69.83,3.91,-6,1
82,Math,76.5,69,82,6,69.83,3.91,0,0
82,Physics,60.333333333333336,50,68,3,69.83,3.91,-5,0
83,English,68.25,55,79,4,64.94,1.45,-1,0
83,Math,50.666666666666664,39,59,6,64.94,1.45,-7,0
83,Physics,45.0,41,49,2,64.94,1.45,8,0
84,English,72.83333333333333,61,85,6,84.84,2.29,-1,0
84,Math,39.5,28,51,4,84.84,2.29,18,1
84,Physics,43.2,40,50,5,84.84,2.29,-1,0
85,English,40.0,33,54,3,80.55,1.88,-21,1
85,Math,32.833333333333336,21,41,6,80.55,1.88,-19,1
85,Physics,79.4,65,91,5,80.55,1.88,-11,0
86,English,32.166666666666664,24,47,6,67.95,1.8,6,1
86,Math,31.0,26,36,2,67.95,1.8,10,1
86,Physics,64.0,50,75,6,67.95,1.8,17,0
87,English,76.66666666666667,66,89,6,80.07,2.3,5,0
87,Math,65.25,53,75,4,80.07,2.3,-18,0
87,Physics,34.5,24,44,4,80.07,2.3,-10,1
88,English,72.0,70,74,2,40.19,1.63,4,0
88,Math,29.666666666666668,18,43,6,40.19,1.63,-11,1
88,Physics,62.833333333333336,52,74,6,40.19,1.63,22,0
89,English,65.66666666666667,56,75,3,80.02,3.36,19,0
89,Math,69.33333333333333,55,77,3,80.02,3.36,1,0
89,Physics,75.33333333333333,66,82,6,80.02,3.36,-3,0
90,English,48.4,40,56,5,90.67,2.84,6,0
90,Math,66.6,54,79,5,90.67,2.84,15,0
90,Physics,35.0,32,38,2,90.67,2.84,-6,1
91,English,45.25,40,52,4,77.49,4.08,-2,0
91,Math,65.33333333333333,56,71,3,77.49,4.08,2,0
91,Physics,54.0,46,64,6,77.49,4.08,-18,0
92,English,35.166666666666664,25,43,6,68.05,2.46,10,1
92,Math,50.0,45,60,4,68.05,2.46,11,0
92,Physics,67.2,52,78,5,68.05,2.46,-15,0
93,English,59.6,47,67,5,69.45,4.38,20,0
93,Math,50.0,45,59,3,69.45,4.38,-1,0
93,Physics,73.0,61,83,6,69.45,4.38,4,0
94,English,66.5,60,73,6,79.31,2.74,-2,0
94,Math,47.166666666666664,36,60,6,79.31,2.74,21,0
94,Physics,59.5,53,66,2,79.31,2.74,-13,0
95,English,77.33333333333333,60,85,6,100.0,0.84,-1,0
95,Math,79.0,67,88,5,100.0,0.84,-17,0
95,Physics,71.0,62,79,4,100.0,0.84,-15,0
96,English,53.0,37,59,5,74.1,3.94,2,0
96,Math,69.0,61,77,2,74.1,3.94,-16,0
96,Physics,71.5,67,76,2,74.1,3.94,9,0
97,English,48.5,39,66,6,77.96,2.46,10,0
97,Math,40.5,39,42,2,77.96,2.46,-3,0
97,Physics,69.66666666666667,65,74,3,77.96,2.46,-4,0
98,English,16.0,16,16,2,65.33,2.45,0,1
98,Math,44.5,39,50,2,65.33,2.45,-11,0
98,Physics,46.0,34,61,5,65.33,2.45,27,1
99,English,77.6,65,91,5,70.29,3.58,19,0
99,Math,66.66666666666667,58,77,3,70.29,3.58,7,0
99,Physics,72.0,65,78,3,70.29,3.58,-5,0
100,English,45.8,33,55,5,75.6,1.85,22,1
100,Math,36.333333333333336,33,43,3,75.6,1.85,10,1
100,Physics,51.0,40,63,5,75.6,1.85,-19,0
101,English,78.8,66,87,5,69.2,2.48,15,0
101,Math,70.4,66,77,5,69.2,2.48,-2,0
101,Physics,46.4,39,52,5,69.2,2.48,-6,0
102,English,62.0,48,73,6,80.06,0.5,-22,0
102,Math,31.0,19,44,4,80.06,0.5,-25,1
102,Physics,54.333333333333336,43,64,6,80.06,0.5,-5,0
103,English,56.666666666666664,55,59,3,83.74,3.27,4,0
103,Math,50.4,41,56,5,83.74,3.27,-14,0
103,Physics,54.0,49,62,3,83.74,3.27,11,0
104,English,67.0,59,71,3,62.23,0.95,-12,1
104,Math,65.33333333333333,54,74,3,62.23,0.95,-20,1
104,Physics,53.5,43,69,4,62.23,0.95,22,0
105,English,64.5,63,66,2,78.24,2.21,3,0
105,Math,77.0,68,84,6,78.24,2.21,-16,0
105,Physics,37.5,35,40,2,78.24,2.21,5,1
106,English,59.333333333333336,52,72,3,83.07,1.25,20,0
106,Math,71.0,65,77,2,83.07,1.25,12,0
106,Physics,70.4,61,81,5,83.07,1.25,-20,0
107,English,80.0,74,86,2,73.37,1.35,-12,0
107,Math,42.0,26,50,4,73.37,1.35,19,1
107,Physics,64.4,61,71,5,73.37,1.35,0,0
108,English,30.166666666666668,19,37,6,85.95,2.34,9,1
108,Math,42.6,35,51,5,85.95,2.34,-13,0
108,Physics,51.4,40,68,5,85.95,2.34,-23,0
109,English,55.4,49,66,5,70.19,0.5,-12,0
109,Math,74.75,58,86,4,70.19,0.5,-12,0
109,Physics,69.16666666666667,63,76,6,70.19,0.5,-12,0
110,English,49.5,49,50,2,81.13,1.45,-1,0
110,Math,44.666666666666664,35,57,3,81.13,1.45,7,0
110,Physics,55.833333333333336,47,67,6,81.13,1.45,-4,0
111,English,47.0,46,48,2,76.84,2.67,-2,0
111,Math,42.5,33,52,2,76.84,2.67,-19,1
111,Physics,61.5,60,63,2,76.84,2.67,-3,0
112,English,32.0,24,43,6,91.33,1.35,-19,1
112,Math,49.666666666666664,43,59,3,91.33,1.35,4,0
112,Physics,63.0,55,71,2,91.33,1.35,16,0
113,English,42.0,35,49,2,58.15,1.57,-14,1
113,Math,29.5,21,37,4,58.15,1.57,7,1
113,Physics,74.5,59,88,4,58.15,1.57,19,0
114,English,23.666666666666668,18,29,3,62.22,0.86,-11,1
114,Math,51.5,33,61,6,62.22,0.86,-11,1
114,Physics,68.5,60,83,4,62.22,0.86,-3,0
115,English,41.5,32,51,6,81.22,2.56,11,1
115,Math,45.0,40,48,3,81.22,2.56,1,0
115,Physics,44.333333333333336,40,50,3,81.22,2.56,-10,0
116,English,41.0,28,55,6,80.95,3.35,-18,1
116,Math,73.0,67,79,4,80.95,3.35,-2,0
116,Physics,41.0,32,53,6,80.95,3.35,-21,1
117,English,41.0,30,52,2,66.29,1.52,22,1
117,Math,55.5,45,70,4,66.29,1.52,-7,0
117,Physics,65.66666666666667,51,79,3,66.29,1.52,-28,0
118,English,34.4,21,44,5,73.66,2.34,-9,1
118,Math,36.6,30,47,5,73.66,2.34,10,1
118,Physics,71.0,59,79,3,73.66,2.34,-4,0
119,English,55.0,44,66,2,79.72,2.64,-22,0
119,Math,51.166666666666664,44,63,6,79.72,2.64,-18,0
119,Physics,71.0,63,79,3,79.72,2.64,8,0
120,English,55.0,50,60,2,85.7,1.59,-10,0
120,Math,67.2,56,77,5,85.7,1.59,-6,0
120,Physics,61.333333333333336,51,69,3,85.7,1.59,-18,0
121,English,64.33333333333333,61,69,3,99.68,0.61,2,0
121,Math,39.333333333333336,31,56,6,99.68,0.61,6,1
121,Physics,47.0,40,59,6,99.68,0.61,1,0
122,English,27.0,26,28,2,78.03,1.97,-2,1
122,Math,56.333333333333336,52,59,3,78.03,1.97,7,0
122,Physics,57.4,54,62,5,78.03,1.97,4,0
123,English,26.0,18,38,3,75.34,1.73,-20,1
123,Math,38.0,30,45,3,75.34,1.73,9,1
123,Physics,37.0,28,45,3,75.34,1.73,7,1
124,English,43.5,41,46,2,91.73,2.92,5,0
124,Math,34.8,25,47,5,91.73,2.92,-17,1
124,Physics,61.833333333333336,52,72,6,91.73,2.92,15,0
125,English,30.666666666666668,22,42,3,51.64,2.0,14,1
125,Math,68.8,58,77,5,51.64,2.0,2,0
125,Physics,34.4,20,44,5,51.64,2.0,-19,1
126,English,51.666666666666664,41,65,3,80.04,3.08,-24,0
126,Math,36.333333333333336,28,50,3,80.04,3.08,19,1
126,Physics,68.66666666666667,60,79,3,80.04,3.08,19,0
127,English,68.0,61,73,6,66.52,0.9,6,0
127,Math,32.666666666666664,23,40,3,66.52,0.9,-12,1
127,Physics,54.0,46,63,4,66.52,0.9,17,0
128,English,28.75,18,35,4,89.76,3.58,17,1
128,Math,50.666666666666664,46,57,3,89.76,3.58,-11,0
128,Physics,37.0,29,48,5,89.76,3.58,-7,1
129,English,28.833333333333332,19,41,6,82.12,2.62,18,1
129,Math,55.333333333333336,39,67,3,82.12,2.62,-28,0
129,Physics,57.4,45,66,5,82.12,2.62,8,0
130,English,76.16666666666667,58,86,6,74.39,1.45,-11,0
130,Math,52.4,42,66,5,74.39,1.45,-3,0
130,Physics,47.8,40,55,5,74.39,1.45,14,0
131,English,37.25,25,50,4,61.69,2.78,25,1
131,Math,35.5,26,45,2,61.69,2.78,-19,1
131,Physics,60.0,53,68,3,61.69,2.78,-15,1
132,English,76.33333333333333,70,80,3,68.87,2.2,9,0
132,Math,54.0,50,63,5,68.87,2.2,13,0
132,Physics,73.5,56,81,6,68.87,2.2,0,0
133,English,32.666666666666664,27,40,6,78.8,0.5,8,1
133,Math,54.5,37,65,6,78.8,0.5,22,0
133,Physics,70.83333333333333,61,77,6,78.8,0.5,9,0
134,English,66.66666666666667,56,82,3,73.78,2.06,26,0
134,Math,44.5,44,45,2,73.78,2.06,-1,0
134,Physics,55.666666666666664,41,69,6,73.78,2.06,-2,0
135,English,64.5,54,74,6,66.25,0.5,11,0
135,Math,69.83333333333333,64,79,6,66.25,0.5,-4,0
135,Physics,29.0,16,42,2,66.25,0.5,26,1
136,English,42.5,41,44,2,74.82,3.81,3,0
136,Math,49.25,43,52,4,74.82,3.81,9,0
136,Physics,50.6,41,60,5,74.82,3.81,-12,0
137,English,46.4,35,56,5,71.35,2.68,0,0
137,Math,52.75,42,58,4,71.35,2.68,4,0
137,Physics,53.666666666666664,48,58,3,71.35,2.68,-3,0
138,English,30.5,24,37,2,86.86,3.22,13,1
138,Math,70.66666666666667,66,79,3,86.86,3.22,13,0
138,Physics,52.0,52,52,2,86.86,3.22,0,0
139,English,67.5,55,75,4,71.77,2.25,19,0
139,Math,45.4,36,53,5,71.77,2.25,14,0
139,Physics,35.333333333333336,27,44,3,71.77,2.25,-9,1
140,English,60.0,56,68,5,75.41,3.33,2,0
140,Math,59.2,55,64,5,75.41,3.33,-3,0
140,Physics,42.0,30,49,3,75.41,3.33,2,1
141,English,55.333333333333336,47,64,3,72.79,2.22,8,0
141,Math,48.5,37,60,2,72.79,2.22,23,0
141,Physics,37.0,34,40,2,72.79,2.22,6,1
142,English,59.8,55,64,5,62.06,2.73,6,0
142,Math,55.0,46,60,4,62.06,2.73,0,0
142,Physics,58.6,44,71,5,62.06,2.73,8,0
143,English,36.0,30,41,3,65.26,0.73,4,1
143,Math,66.0,49,75,6,65.26,0.73,5,0
143,Physics,72.6,65,85,5,65.26,0.73,-15,0
144,English,40.0,26,48,6,72.91,1.65,6,1
144,Math,62.333333333333336,57,72,3,72.91,1.65,-1,0
144,Physics,73.66666666666667,61,86,6,72.91,1.65,9,0
145,English,52.5,44,61,4,60.5,1.39,17,0
145,Math,62.0,50,68,4,60.5,1.39,-4,0
145,Physics,34.0,21,46,6,60.5,1.39,9,1
146,English,43.0,41,47,3,59.74,3.76,0,0
146,Math,76.5,75,78,2,59.74,3.76,-3,0
146,Physics,54.4,45,66,5,59.74,3.76,2,0
147,English,67.66666666666667,50,79,6,85.24,3.09,-12,0
147,Math,51.2,46,56,5,85.24,3.09,7,0
147,Physics,42.666666666666664,29,55,6,85.24,3.09,-11,1
148,English,76.6,67,88,5,69.17,2.33,0,0
148,Math,79.8,71,88,5,69.17,2.33,2,0
148,Physics,35.0,34,36,2,69.17,2.33,-2,1
149,English,75.66666666666667,62,86,6,71.28,3.59,-11,0
149,Math,49.5,44,55,2,71.28,3.59,-11,0
149,Physics,33.5,26,41,2,71.28,3.59,-15,1
150,English,31.666666666666668,24,47,3,56.04,2.67,-23,1
150,Math,44.833333333333336,35,58,6,56.04,2.67,-5,0
150,Physics,62.833333333333336,54,71,6,56.04,2.67,-16,1
151,English,55.2,44,64,5,46.29,2.34,0,0
151,Math,56.5,55,58,2,46.29,2.34,3,0
151,Physics,81.4,77,85,5,46.29,2.34,-3,0
152,English,72.0,62,82,2,83.86,1.81,20,0
152,Math,45.0,39,51,3,83.86,1.81,-6,0
152,Physics,35.0,32,38,2,83.86,1.81,6,1
153,English,72.66666666666667,60,81,6,76.29,2.01,-21,0
153,Math,46.5,35,61,4,76.29,2.01,23,0
153,Physics,63.333333333333336,56,69,3,76.29,2.01,-4,0
154,English,70.6,56,80,5,63.9,3.07,-24,1
154,Math,54.0,51,57,2,63.9,3.07,6,0
154,Physics,42.166666666666664,26,54,6,63.9,3.07,-4,1
155,English,26.0,19,35,3,64.84,2.56,-5,1
155,Math,56.333333333333336,50,67,3,64.84,2.56,-17,1
155,Physics,34.0,32,36,2,64.84,2.56,4,1
156,English,54.0,43,61,5,70.52,4.51,11,0
156,Math,70.25,64,76,4,70.52,4.51,-7,0
156,Physics,36.4,26,44,5,70.52,4.51,18,1
157,English,26.0,24,28,2,78.23,2.25,4,1
157,Math,58.4,49,70,5,78.23,2.25,-6,0
157,Physics,56.0,43,67,3,78.23,2.25,-24,0
158,English,66.2,58,77,5,73.2,5.69,19,0
158,Math,56.0,47,63,5,73.2,5.69,-6,0
158,Physics,41.666666666666664,32,52,6,73.2,5.69,4,1
159,English,69.5,64,74,4,63.58,3.04,-10,0
159,Math,73.0,61,83,3,63.58,3.04,-22,1
159,Physics,23.4,18,31,5,63.58,3.04,-4,1
160,English,80.0,79,81,2,70.74,2.59,-2,0
160,Math,60.666666666666664,49,75,6,70.74,2.59,2,0
160,Physics,56.5,54,59,4,70.74,2.59,5,0
161,English,38.0,21,47,3,86.49,3.93,25,1
161,Math,62.8,47,68,5,86.49,3.93,21,0
161,Physics,47.166666666666664,39,63,6,86.49,3.93,-1,0
162,English,72.6,59,81,5,77.71,2.8,13,0
162,Math,38.666666666666664,31,47,3,77.71,2.8,-7,1
162,Physics,32.5,26,39,2,77.71,2.8,13,1
